Elements,Random,Hard,Easy
500,119,104,96
600,177,159,156
700,204,175,170
800,217,193,190
900,275,228,194
1000,254,225,217
1100,296,263,283
1200,467,367,365
1300,405,402,385
1400,433,372,433
1500,559,400,381
1600,511,440,402
1700,489,429,425
1800,529,479,495
1900,612,511,485
2000,555,514,479
2100,630,576,562
2200,697,607,575
2300,868,752,746
2400,813,743,754
2500,874,740,760
2600,939,956,788
2700,944,823,811
2800,1010,825,854
2900,1043,890,866
3000,1028,887,824
3100,1002,881,919
3200,1072,933,908
3300,1045,960,941
3400,1093,933,926
3500,1099,962,930
3600,1213,1049,993
3700,1201,999,970
3800,1177,1157,1005
3900,1207,1093,1057
4000,1358,1069,1025
4100,1251,1091,1176
4200,1308,1156,1124
4300,1353,1222,1194
4400,1446,1280,1228
4500,1699,1421,1392
4600,1737,1621,1500
4700,1754,1567,1598
4800,1791,1556,1565
4900,1830,1586,1646
5000,1839,1602,1622
5100,1882,1708,1626
5200,1918,1708,1636
5300,1932,1698,1783
5400,1918,1669,1776
5500,1966,1694,1688
5600,2138,1755,1718
5700,2039,1779,1761
5800,2113,1837,1787
5900,2081,1821,1799
6000,2167,1930,1797
6100,2124,1920,1872
6200,2225,1905,1988
6300,2405,2050,1883
6400,2444,1991,1958
6500,2288,2039,1906
6600,2312,2067,2000
6700,2431,2042,2051
6800,2478,2086,2029
6900,2585,2178,2154
7000,2499,2184,2066
7100,2532,2170,2140
7200,2556,2171,2186
7300,2561,2283,2281
7400,2576,2241,2216
7500,2549,2254,2207
7600,2561,2233,2251
7700,2612,2280,2282
7800,2687,2284,2354
7900,2726,2330,2258
8000,2840,2334,2241
8100,2787,2381,2384
8200,2857,2469,2288
8300,2845,2474,2388
8400,2876,2592,2456
8500,3008,2605,2609
8600,2984,2649,2692
8700,3090,2712,2553
8800,3176,2809,2696
8900,3276,2981,2808
9000,3485,2984,2934
9100,3633,3106,3268
9200,3793,3363,3286
9300,3889,3247,3301
9400,3830,3245,3305
9500,3787,3304,3359
9600,3797,3344,3357
9700,3789,3303,3296
9800,3910,3332,3372
9900,3893,3364,3370
10000,3932,3433,3392
10100,3994,3472,3493
10200,4099,3569,3610
10300,4050,3700,3504
10400,4224,3597,3598
10500,4272,3534,3591
10600,4154,3680,3556
10700,4230,3689,3738
10800,4238,3657,3709
10900,4275,3709,3639
11000,4280,3714,3669
11100,4281,3662,3648
11200,4329,3667,3720
11300,4277,3808,3692
11400,4327,3740,3737
11500,4353,3800,3733
11600,4607,3927,3907
11700,4627,3848,3947
11800,4702,4066,3973
11900,4706,4088,4044
12000,4640,4112,3929
12100,4805,4047,4093
12200,4750,3960,4052
12300,4609,4054,3988
12400,4702,4134,4056
12500,4735,4073,4070
12600,4680,4148,4072
12700,4820,4168,4188
12800,4799,4248,4194
12900,4880,4222,4251
13000,5053,4316,4304
13100,5088,4333,4274
13200,5126,4353,4403
13300,5109,4482,4334
13400,5191,4448,4350
13500,5094,4458,4369
13600,5058,4381,4357
13700,5109,4413,4375
13800,5077,4377,4405
13900,5101,4428,4342
14000,5094,4431,4386
14100,5122,4629,4537
14200,5469,4763,4670
14300,5483,4640,4695
14400,5441,4704,4638
14500,5600,4726,4776
14600,5489,4831,4608
14700,5475,4658,4620
14800,5434,4699,4617
14900,5372,4698,4689
15000,5431,4822,4619
15100,5457,4836,4665
15200,5478,5041,4727
15300,5693,5074,4835
15400,5777,5097,4821
15500,5887,5087,4816
15600,5647,5108,4830
15700,5771,5044,4854
15800,5737,5018,4893
15900,5740,5030,4842
16000,5828,5061,4896
16100,5753,5049,4906
16200,5797,5078,4919
16300,6145,5364,5055
16400,6311,5310,5142
16500,6357,5480,5314
16600,6086,5911,5344
16700,6280,5501,5360
16800,6274,5437,5281
16900,6221,5422,5261
17000,6228,5534,5253
17100,6296,5492,5306
17200,6316,5517,5335
17300,6334,5706,5612
17400,6634,5673,5582
17500,6642,5967,5629
17600,6811,6006,5879
17700,6966,6073,5949
17800,7046,6136,6018
17900,7072,6230,6061
18000,7237,6358,6185
18100,7362,6421,6571
18200,7622,6764,6628
18300,7976,6961,6939
18400,8083,6995,7132
18500,8352,6949,6963
18600,8033,7010,6973
18700,8010,6865,6932
18800,8010,6883,6995
18900,8022,6895,6945
19000,7988,7294,7262
19100,8418,7318,7330
19200,8385,7339,7409
19300,8309,7111,7168
19400,8276,7159,7105
19500,8283,7087,7093
19600,8381,7310,7219
19700,8415,7244,7164
19800,8593,7518,7528
19900,8556,7534,7527
20000,8696,7471,7465
20100,8588,7339,7417
20200,8540,7271,7533
20300,8480,7291,7324
20400,8536,7326,7364
20500,8486,7327,7375
20600,8984,7706,7528
20700,8810,7818,7671
20800,8935,7621,7588
20900,8775,7586,7616
21000,8702,7613,7591
21100,8745,7527,7549
21200,8743,7558,7582
21300,8862,7674,8038
21400,9047,7967,7886
21500,9171,8065,7863
21600,9085,7840,7794
21700,9058,7796,7771
21800,9030,7760,7763
21900,9022,7832,7794
22000,9040,8005,8121
22100,9433,8147,8220
22200,9491,7989,7970
22300,9241,7969,7887
22400,9151,7921,7884
22500,9130,7933,7901
22600,9158,7927,7926
22700,9274,8012,8238
