Elements,Random,Hard,Easy
500,328,367,423
600,578,520,528
700,656,599,619
800,744,681,712
900,857,713,729
1000,837,771,783
1100,985,899,902
1200,1099,1013,979
1300,1123,1072,1063
1400,1178,1082,1131
1500,1265,1164,1189
1600,1373,1243,1346
1700,1367,1245,1255
1800,1423,1340,1289
1900,1421,1360,1298
2000,1465,1343,1350
2100,1544,1448,1429
2200,1660,1503,1597
2300,1706,1583,1581
2400,1743,1656,1655
2500,1845,1706,1797
2600,1927,1767,1793
2700,1986,1835,1882
2800,2077,1938,1957
2900,2165,2069,2012
3000,2202,2026,2066
3100,2261,2089,2111
3200,2355,2143,2253
3300,2480,2285,2246
3400,2467,2298,2306
3500,2567,2340,2366
3600,2565,2369,2400
3700,2656,2430,2476
3800,2714,2487,2510
3900,2755,2553,2586
4000,2828,2597,2648
4100,2885,2721,3000
4200,3173,2959,2960
4300,3287,2964,3082
4400,3384,3095,3161
4500,3466,3282,3283
4600,3547,3252,3308
4700,3624,3340,3369
4800,3767,3457,3529
4900,3845,3503,3600
5000,4048,3649,3577
5100,3995,3656,3677
5200,4010,3761,3747
5300,4096,3788,3798
5400,4184,3783,3923
5500,4242,3904,4014
5600,4428,4090,4277
5700,4449,4324,4398
5800,4814,4256,4513
5900,4719,4387,4302
6000,4921,4378,4467
6100,4776,4519,4470
6200,5036,4477,4525
6300,4975,4618,4613
6400,4995,4791,4603
6500,5030,4658,4673
6600,5095,4656,4673
6700,5272,4697,4806
6800,5285,4737,4814
6900,5279,4872,4899
7000,5310,4923,5082
7100,5362,5206,5304
7200,5624,5263,5153
7300,5695,5144,5287
7400,5728,5183,5347
7500,5796,5308,5338
7600,5842,5393,5412
7700,5867,5379,5376
7800,5836,5418,5409
7900,5970,5319,5430
8000,5963,5382,5474
8100,5930,5458,5531
8200,5998,5470,5838
8300,6410,5880,6099
8400,6586,5932,6058
8500,6682,6157,6114
8600,6866,6281,6236
8700,6877,6295,6457
8800,6822,6262,6392
8900,6984,6312,6392
9000,7064,6446,6503
9100,7058,6578,6574
9200,7226,6723,7035
9300,7627,6920,6969
9400,7651,7267,7096
9500,7725,7139,7089
9600,7733,7195,7145
9700,7716,7215,7323
9800,7935,7374,7446
9900,8033,7409,7528
10000,8066,7488,7499
10100,8171,7641,7714
10200,8495,7977,7912
10300,8417,7854,7792
10400,8339,7712,7812
10500,8555,7926,8081
10600,8659,7876,7953
10700,8568,7987,8216
10800,8768,8213,8211
10900,8867,8281,8387
11000,9078,8452,8471
11100,8985,8492,8508
11200,9143,8441,8498
11300,9196,8462,8558
11400,9233,8471,8412
11500,9134,8360,8429
11600,9134,8415,8480
11700,9506,8796,8870
11800,9738,8782,8890
11900,9841,8852,8870
12000,9583,8878,8896
12100,9550,8907,8914
